"stop_id","stop_name","stop_lon","stop_lat","stop_code"
"179037","Osnabrück Südstraße",8.096881,52.269109,""
"8613703","Roenne Havn(Faerge)",14.689956,55.099129,""
"895167","Hamburg Klein Borstel",10.03322,53.628269,""
"895667","Hamburg HBF/Steintordamm",10.006738,53.551879,""
"889228","Winsen(Luhe) ZOB",10.208761,53.361811,""
"896852","Kiefen Abzw. B 493",10.965599,52.993244,""
"899408","Salzwedel Bahnhofstraße",11.157096,52.858334,""
"899407","Salzwedel Schwimmhalle",11.15155,52.857741,""
"899406","Salzwedel Kaufland",11.151002,52.857723,""
"897521","Uelzen Albrecht-Thaer-/Eschemannstraße",10.549147,52.967679,""
"890103","Wolfsburg Hauptbahnhof",10.788197,52.428641,""
"892213","Wolfsburg VW Eingang 50a",10.78479,52.436048,""
"882208","Wolfsburg VW Design",10.747116,52.438798,""
"892209","Wolfsburg VW Eingang 104",10.74326,52.437989,""
"892223","Wolfsburg VW Eingang 97",10.739781,52.437765,""
"892210","Wolfsburg VW FE/Tor Nordwest",10.738091,52.44163,""
"890102","Fallersleben Bahnhofstraße",10.716886,52.420784,""
"890101","Lehre Rathaus",10.66989,52.330191,""
"894220","Neuerkerode",10.657827,52.211983,""
"894205","Sickte Birkenweg",10.639839,52.219039,""
"894202","Sickte Burschenhof",10.634239,52.213978,""
"896407","Ersehof",10.38851,52.368503,""
"896134","Wipshausen Rathausring",10.356023,52.38587,""
"909380","Wathlingen Schule",10.147644,52.538471,""
"909378","Wathlingen Villeparisisplatz",10.145334,52.536376,""
"909356","Wathlingen Kantallee",10.145316,52.53688,""
"909382","Wathlingen Heidland",10.139985,52.541096,""
"909384","Papenhorst(Celle)",10.125027,52.543064,""
"909354","Hänigsen Riedel",10.113674,52.491619,""
"909386","Nienhagen(b Celle) Hachehof",10.112865,52.552647,""
"909388","Nienhagen(b Celle) Herzogin-Agnes-Platz",10.107246,52.554939,""
"909350","Hänigsen Schule",10.094841,52.486163,""
"909390","Nienhagen(b Celle) Klosterhof",10.091587,52.560324,""
"909392","Nienhagen(b Celle) Schafstallweg",10.084261,52.555137,""
